Word,Definitions,Word length,Number of Syllables,Word Frequency,Difficulty
abuse,"to treat someone or something in a way that is cruel, harmful, or wrong",5,2,4.66,hard
accident,"sudden unplanned event causing damage, injury, etc.",8,3,4.71,medium
habit,the usual way of behaving; something often repeated,5,2,4.24,hard
activity,"an action or task (e.g., sports, washing your clothes)",8,4,4.86,hard
add,"to put two things or numbers together (e.g., 2+2)",3,1,5.09,easy
adjust,to change so as to fit in with new conditions,6,2,4.07,hard
administration,"the work of running something (e.g., a business)",14,5,4.93,hard
advocate,"to publicly support a belief, or to request a change",8,3,4.21,hard
analyst,someone who is skilled at studying the details of data,7,3,4.03,hard
arrival,when someone or something gets to a place,7,3,4.44,medium
highlight,the best or most interesting part of something,9,2,4.21,hard
button,small round piece of material used to fasten clothing,6,2,4.56,medium
appearance,way that someone or something looks,10,3,4.69,hard
application,"formal request for a job, building permission, etc.",11,4,4.86,hard
apply,"to ask formally for (a job, building permission, etc.)",5,2,4.81,hard
as,a word used to compare two equal things,2,1,6.77,easy
argument,a discussion in which you disagree with another's opinion,8,3,4.64,medium
arrange,to put things into a particular order; to plan and organize an event,7,2,4.0,hard
arrangement,plan or preparation to make something happen; an agreement,11,3,4.25,hard
hunt,to search for wild animals to kill for food or sport,4,1,4.49,hard
art,"a creative skill using the imagination (e.g., painting)",3,1,5.29,easy
characterize,"to describe the qualities of a person, place, thing",12,4,3.32,hard
assessment,opinion based on judging the qualities of something or someone,10,3,4.46,hard
asset,a person or thing that has value or use to someone or to a company,5,2,4.23,hard
back,behind; to the rear; previous ,4,1,6.04,easy
associate,"partner in professional work (e.g., in law)",9,4,4.39,hard
atmosphere,The mixture of gases surrounding the Earth; the feeling that a place or situation gives you,10,3,4.46,hard
attitude,"way you act, think, and feel about something",8,3,4.58,medium
illustrate,"to explain with examples, to make it easier to understand",10,3,3.71,hard
audience,"group of people listening, watch a play, movie, etc.",8,3,4.73,medium
author,"person who writes books, plays, poems, etc.",6,2,4.95,medium
impose,"to make someone to do, believe, or accept something ",6,2,3.92,hard
band,"group of people who work together (e.g., play music)",4,1,4.92,easy
bar,"to prevent entry, exit, or an action",3,1,4.94,easy
basically,in the most important ways even if not completely true,9,3,4.63,hard
bedroom,room for sleeping usually with a bed,7,2,4.46,medium
belief,a feeling of being sure that something exists or is true,6,2,4.46,medium
bind,to join two or more things together to limit their freedom,4,1,3.75,hard
birth,when a baby comes out of the body of its mother,5,1,4.77,easy
bomb,a weapon designed to break apart very suddenly and violently,4,1,4.6,hard
bond,"something that joins or connects people, groups, or parts; a duty or promise to another; glue",4,1,4.59,hard
border,line separating one country or state from another,6,2,4.7,medium
competitor,"someone taking part in a race, business, etc.",10,4,3.81,hard
incident,"something that happens, especially if it is bad or unusual",8,3,4.54,medium
intelligence,"ability to learn, think about, and understand things",12,4,4.7,hard
branch,a part of a tree that grows out from the main part; a part of an organization connected to but separate from the main office,6,1,4.58,hard
brand,name given to a product or service,5,1,4.83,easy
build,"to make (e.g., a house, by putting materials together)",5,1,5.04,easy
business,"the making, buying, or selling goods or services for money",8,2,5.56,hard
bridge,"structure built over river or road so people, vehicles, or animals can cross",6,1,4.77,hard
coverage,"way a newspaper, television program, etc., reports an event or subject",8,3,4.63,medium
crew,"an organized group of workers (e.g., on a ship)",4,1,4.7,easy
kick,to hit someone or something using your foot,4,1,4.72,easy
kiss,to put your lips against another's to show love,4,1,4.58,hard
dependent,someone who depends on another for (financial) support,9,3,4.28,hard
campaign,to work in an organized and active way toward a goal,8,2,5.0,medium
latter,the second or last mentioned thing,6,2,4.56,medium
lock,to close something with a device so others can't open it,4,1,4.51,hard
cent,"100th of the basic unit of money (e.g., there are 100 of these in a dollar)",4,1,4.83,easy
certainly,definitely true or is sure to happen,9,3,5.0,hard
chain,"series of connected  things, events, or people",5,1,4.65,easy
channel,"1. a narrow, deep body of water used by ships; 2. a system used for sending something from one place or person to another",7,2,4.85,medium
characteristic,a typical feature or quality that a particular person or thing has,14,5,3.97,hard
milk,the white liquid produced by females to feed their babies,4,1,4.66,easy
color,"the quality of things you can see (e.g., red, blue)",5,2,4.91,hard
origin,the point at which something begins or is created,6,3,4.55,medium
church,building where religious people gather and pray,6,1,5.16,hard
drag,to pull something that is difficult to move,4,1,4.29,hard
civil,related to the people of a country; not military/criminal,5,2,4.93,hard
proportion,an amount that is a part of a whole thing,10,3,4.11,hard
reject,"to refuse to believe, accept, or consider",6,2,4.03,hard
clothes,"things you wear on your body (e.g., shirt, dress, tie)",7,1,4.72,hard
course,"route or direction that a river, etc., moves along",6,1,5.44,hard
colleague,someone who works with you; coworker,9,2,3.98,hard
formula,"plan, rule, or method for doing or making something",7,3,4.45,medium
combination,result of mixing things together,11,4,4.61,hard
foundation,underground base on which a building is constructed,10,3,4.81,hard
lip,top and bottom part of the outside of a person's mouth,3,1,4.13,hard
comment,something you say; give an opinion; remark,7,2,4.88,medium
commission,a group officially put in charge of finding out about something or controlling something,10,3,4.91,hard
commitment,a promise or decision to do something; something that you must do that takes your time,10,3,4.43,hard
relief,the pleasant and relaxed feeling when something unpleasant stops or does not happen,6,2,4.55,medium
complain,to say that you are not happy or satisfied with something or someone,8,2,4.23,hard
component,one of the parts that make up something,9,3,4.32,hard
concentrate,to give all your attention to a task; focus,11,3,4.07,hard
condition,"state of living you are in (e.g., good health)",9,3,4.86,hard
margin,"the empty space at the top, bottom, and sides of a written or printed page",6,2,4.27,hard
content,"information in something (e.g., a book or computer program)",7,2,5.0,medium
contract,"legal agreement (e.g., for doing work for money)",8,2,4.94,medium
contribute,give something of value to or help someone or something,10,3,4.34,hard
pace,the speed at which someone or something moves or happens,4,1,4.38,hard
corner,"place where two lines, sides, corners, etc., meet",6,2,4.75,medium
reputation,an opinion that people have about someone or something based on the past,10,4,4.47,hard
shoulder,the part of the body where an arm attaches or joins,8,2,4.5,medium
perception,the way in which one sees or understands something,10,3,4.18,hard
similarly,in a way that is almost the same as something or someone else,9,4,4.3,hard
crime,"act that is against the law; murder, theft, etc.",5,1,4.89,easy
supporter,someone who shows they are in favor of an idea/plan,9,3,4.07,hard
symbol,action or object that represents a particular idea or quality,6,2,4.31,hard
cultural,of a particular society's customs and beliefs,8,3,4.75,medium
sky,the place where we see clouds above us,3,1,4.72,easy
cream,the thick white liquid that comes from milk and is used in cooking,5,1,4.62,hard
evolution,"slow, steady change or development",9,4,4.41,hard
example,something or someone who represents a group,7,3,5.27,hard
decrease,"to reduce the size, amount, or number of something",8,2,4.17,hard
exhaust,"to use all of something such as energy, resources, or possibilities; to make someone very, very tired",7,2,3.81,hard
soul,the spiritual part of a person,4,1,4.81,easy
delay,to cause something to happen later than planned or expected,5,2,4.4,hard
specifically,in a well-defined or clear manner; in particular,12,4,4.65,hard
demonstrate,"to show how something works (e.g., product)",11,3,4.2,hard
extract,to take something out of something else,7,2,4.02,hard
talent,the natural ability of a person to do something well,6,2,4.64,medium
desire,"to wish for, hope, or want something",6,3,4.61,medium
destroy,to damage something so badly that it no longer exists,7,2,4.52,medium
direction,"describes the way you are going (e.g., north)",9,3,4.93,hard
distinction,the special quality that makes something different,11,3,4.1,hard
division,act of separating something into parts; groups formed by different functions or opinions,8,3,4.86,medium
doctor,a professional who is trained and licensed to treat sick or injured people; a person who has the highest degree given by a university,6,2,4.9,medium
domestic,of or relating to a particular country; of or relating to the home and family,8,3,4.69,medium
iron,the hard metal used to make steel (symbol Fe),4,2,4.74,hard
economy,"total of all the goods, services, and wages in an area",7,4,4.87,hard
editor,a person whose job is to correct and make changes to the contents of a book or magazine,6,3,4.62,medium
elect,choose someone for a position usually by voting ,5,2,4.03,hard
knee,the middle part of your leg that bends,4,1,4.33,hard
stem,"the long, thin part of a plant that supports leaves and flowers",4,1,4.3,hard
engineer,"professional who designs and builds machines, roads, and other complicated structures",8,3,4.5,medium
entirely,fully or completely,8,4,4.72,hard
wage,money paid to workers for the hours they worked,4,1,4.44,hard
wheel,the round thing under a vehicle that turns and makes it move,5,1,4.5,hard
escape,to get away from a place where you are being held,6,2,4.64,medium
winner,the person or animal that is the best in a contest or first in a race,6,2,4.8,medium
estimate,"guess or calculation of cost, size, or value",8,3,4.29,hard
appointment,the time you arranged to meet someone or do something,11,3,4.49,hard
here,"in, at, or to this position or place",4,1,5.97,easy
examine,to look at someone or something very carefully in order to learn more,7,3,4.18,hard
breakfast,the first meal of the day,9,2,4.61,hard
excite,"to make someone feel happy, interested, or eager",6,2,3.29,hard
however,used to say something is different from what was said before; but,7,3,5.58,hard
breast,one of the two parts on the front of a woman's body that produce milk when she has a baby,6,1,4.35,hard
capture,to catch and prevent a person/animal from being free,7,2,4.42,medium
celebrate,"to observe an event or occasion (e.g., a birthday)",9,3,4.49,hard
expense,the amount of money that is needed to pay for something,7,2,4.23,hard
explore,to learn about something by examining in detail or someplace by traveling to it,7,2,4.31,hard
extend,"to straighten or stretch something out (e.g., your leg)",6,2,4.34,hard
childhood,the time when you are a child,9,2,4.51,hard
fairly,in a reasonable way; between a little and very much,6,2,4.5,medium
farmer,"someone who owns or looks after farm, a place for growing crops and keeping animals",6,2,4.15,hard
fear,unpleasant feelings caused by being aware of danger,4,1,4.95,easy
feed,"to give food (e.g., to an animal or a baby)",4,1,4.67,easy
closely,very near in space or time; just next to,7,2,4.53,medium
file,"to submit documents to an authority (e.g., city hall)",4,1,4.75,easy
angle,a place where two lines or surfaces meet,5,2,4.38,hard
flower,"plant with a pretty head (e.g., a rose)",6,2,4.42,medium
attribute,"a quality or characteristic that someone or something has (e.g., size or color)",9,3,3.77,hard
command,to give an order; have control over others,7,2,4.7,medium
consistent,always acting or happening in the same way,10,3,4.48,hard
core,the central part of a fruit that contains the seeds; the central part of something,4,1,4.73,easy
frame,"(n) 1. the basic structure of something that gives it its shape, to which other parts are added; 2. one picture in a series that make a video; (v) 1. to put a picture in a supporting structure; 2. to produce false evidence so an innocent person appears guilty of a crime",5,1,4.58,hard
bowl,a round container used for holding things like rice or soup,4,1,4.63,hard
crop,"plants grown on a farm for food (e.g., corn or rice)",4,1,4.15,hard
gain,"to get something wanted, needed, or valued",4,1,4.81,easy
debt,the sum of money owed to somebody that is not yet paid,4,1,4.69,easy
generally,"usually; as a rule; by, to, or for most people",9,4,4.95,hard
last,the one before,4,1,5.86,easy
exhibition,an event at which an object or group of objects is shown to the public,10,4,4.37,hard
graduate,(v) to receive a degree from a college or university; (n) a person who has received a degree,8,3,4.5,medium
leave,to go away from; depart,5,1,5.34,easy
liability,"something that is owed to someone else (e.g., a debt)",9,5,4.16,hard
gun,a weapon that shoots small metal objects down a metal tube,3,1,4.96,easy
life,"all the living things (e.g., animals, plants, humans)",4,1,5.89,easy
hall,"a usually long, narrow room in a building  that leads to other rooms",4,1,4.87,easy
hang,"to attach a picture, photograph, etc., onto a wall",4,1,4.6,hard
line,"mark that is long, straight, and very thin",4,1,5.49,easy
cake,"a sweet baked food made from flour, eggs, fat, and sugar",4,1,4.53,hard
hire,to employ a person to do a particular job,4,2,4.4,hard
historical,of or related to events or people in the past,10,4,4.69,hard
host,person who entertains guests,4,1,4.77,easy
hotel,place where people can stay when traveling,5,2,4.95,hard
